reference,hypothesis,WER,CER
elm adamları planetlərin xüsusilə də quyruqlu ulduzlar uzun zaman əvvəl yer planeti ilə toqquşduğu üçün yer planetinin necə yarandığını başa düşməyə çalışır,Elim adamları planetlərin süsilə də quyruqlı ulduzlar uzun zaman əvvəl yer planeti ilə topuştubu üçün yer planetinin ne ziyarandığını başa düşməyə çalışır.,0.3181818181818182,0.08333333333333333
onun 20 yaşlarında olduğu bildirilir biber açıqlamasında bu faciəvi qəzanın birbaşa iştirakçısı olmasam da düşüncələrim və dualarım hadisə qurbanının ailəsinin yanındadır dedi,"10-20 yaşlarında olduğu bildirlir. Biber asıqlamasında bu facəv-qəzanın birbaşa iştirakçısı olmasam da, düşüncülərin və dualarım hadisə qurbanının ailəsinin yanındadır, dedir.",0.45454545454545453,0.09714285714285714
pulcuq kimi dərisi və dırnaqları olan ayaqlara sahib bu quşlar yumurta qoya bilir və tirannozavr rekslər kimi iki arxa ayaqlarının üstündə gəzə bilirlər,Pulcub kimi dərisi və dırnaxlar onu ayaqlara sahib buquşlar yumurta qoyabilir və tiranazavr rexslər kimi iki arx ayaqlarının üstündə gəzə bilirlər.,0.4782608695652174,0.08552631578947369
şou başladıqdan sadəcə 5 dəqiqə sonra külək əsməyə başladı bir dəqiqə keçməmiş küləyin sürəti artıq saatda 70 km idi...sonra yağış gəldi amma yağış damcıları o qədər sərt və böyük idi ki dəriyə iynə kimi batırdı sonrası göydən dolu yağdı insanlar təşvişlə və bağıraraq bir-birlərinin üstündən keçərək qaçmağa başladılar,"Şov başladığı dən sadece 5 dəyəqə sonra külləyə esməyə başladı. Bir dəyəqə keçməmiş külləyin çürət artıq sağda 70 km idi. Sonra yaqış gəldi, amma yaqış damcılar o qədər sərt və böyük idi ki, dəriyə iğne kimi batırdı. Sonrası qöydən doluyaqdı. İnsanlar təşvişlə və bağıraraq bir bilənin üstündən keçirəyə qasmağa başladılar.",0.625,0.14106583072100312
maria adlanan qaranlıq qatların altında daha nazik dağlıq yerlərin altında isə daha qalın görünür,"Mari adlanan qaranlı qahtların altında daha naziq, dahlıq yerlərin altında isə daha qalan görünür.",0.5,0.08247422680412371
abş-ın geoloji xidmətlər bürosunun astrologiya heyətindən və arizona ştatının flagstaff şəhərində yerləşən şimali arizona universitetindən olan qlen kuşinqin dediyinə görə onların termal hərəkətləri yer planetindəki kifayət qədər davamlı temperaturu tez-tez dəstəkləyən böyük mağaralarda olanlar qədər stabil deyil ancaq bu həmin dərin dəliklərin torpaqda olması ilə əlaqəlidir,"Abuşun geologi xidmətlər bürosunun astrologi həyətindən ve Arizona şudatının flux-staff şəhərində iləşən şimali Arizona üniversitetinə nolan Qlyn-Kuşingindəlik nə görə, onların tərmal hərəkətləri yəgər, planetindəki kifaya qədər davamlı temperature-u deyirsiniz, dəstəkləyin böyük maharalar davlanır qədər stabil deyir. Onca bu həmin dərin dəriklərin torbaqda olması ilə lagəlidir.",0.5869565217391305,0.16710875331564987
katalon dili metroda müntəzəm olaraq verilən elanların əsas dilidir lakin avtomatlaşdırılmış sistem planlaşdırılmamış problemlər barədə elanları fərqli dillərdə o cümlədən i̇span i̇ngilis fransız ərəb və yapon dillərində verir,"Katolub dili metrada minitəzim olaraq verilən eylənlərin nəsəs dilidır. Lakin automatılaşdırılmış, sistem pənlaşdırılmalış problemlər barədə eylənlər fərqli dillərdə, o cübələdən İspan, İngiliz, Fransız, ərab və yapan dillərində verilir.",0.6071428571428571,0.16371681415929204
körpünün istifadəyə verilişi 2017-ci ilin sentyabr ayına yəni braziliya gömrük nəzarəti məntəqələrinin işlərini bitirəcəyi vaxta planlaşdırılır,"Çöribünün istifadəya verilişi 2017-ci Ebrahimə, yəni, Brasi ilə gömlük nəzarəti məntəgələrinin işlərinə bitirəcəyə vəxudda planlaşdırılır.",0.8125,0.23776223776223776
əlbəttə bu ənənənin xristian dini baxımından izahı var amma bu xristianlıqdan əvvəl olan baharın gəlişi və məhsuldarlıq səbəbilə də keçirilə bilər,"Albəxt də bu ənəni, xristiyan dini baxımından izahı var. Amma bu xristiyanlıqdan əvvəl olan baharın gərişi və məhsildəli səbəbillə də keşirlə bilər.",0.5238095238095238,0.136986301369863
yenə də şengen zonası bu baxımdan bir qədər tək dövlət funksiyasına malikdir,Yenə də Şəngin zonası bu baxımdan bir qədə tək dövlət funqüsəsində malikdir.,0.3333333333333333,0.15789473684210525
bu tapıntı həm də quş lələklərinin təkamülü haqqında təsəvvür yaradır,Bu tapındı həm də Quşlə eləkilənin təkamil haqqında təsəbür yaratır.,0.6,0.18840579710144928
